1;ΕΣΟΔΑ;12372559583342.00
1,1;Φόροι;8205500000000
1,2;Κοινωνικές εισφορές;60000000
1,3;Μεταβιβάσεις;3146789045342.00
1,4;Πωλήσεις αγαθών και υπηρεσιών;2405000000
1,5;Λοιπά τρέχοντα έσοδα;2775000000
1,6;Πάγια Περιουσιακά Στοιχεία;37000000
1,7;Χρεωστικοί τίτλοι;11000000
1,8;Δάνεια;20000000
1,9;Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων;467000000
1,9,1;Υποχρεώσεις από νόμισμα και καταθέσεις;66000000
1,9,2;Χρεωστικοί τίτλοι (υποχρεώσεις);25973000000
1,9,3;Δάνεια;987656538000
1,9,4;Χρηματοοικονομικά παράγωγα;800000000
2;ΕΞΟΔΑ;1307907506000.00
2,1;Παροχές σε εργαζομένους;14889199000
2,2;Κοινωνικές παροχές;425136000
2,3;Μεταβιβάσεις;34741365000
2,4;Αγορές αγαθών και υπηρεσιών;2039542000
2,5;Επιδοτήσεις;80630000
2,6;Τόκοι;7701101000
2,7;Λοιπές δαπάνες;101553000
2,8;Πιστώσεις υπό κατανομή;17283053000
2,9;Πάγια περιουσιακά στοιχεία;2609600000
2,9,1;Τιμαλφή;85000
2,9,2;Δάνεια;3741000000
2,9,3;Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων;1755112000
2,9,4;Χρεωστικοί τίτλοι (υποχρεώσεις);19375000000
2,9,5;Δάνεια;1203165130000
3;ΑΠΟΤΕΛΕΣΜΑ ΚΡΑΤΙΚΟΥ ΠΡΟΫΠΟΛΟΓΙΣΜΟΥ (ΕΣΟΔΑ - ΕΞΟΔΑ);11064652077342.00
