1;Προεδρία της Δημοκρατίας;4.951.000;0;4.951.000
2;Βουλή των Ελλήνων;184.900.000;2.000.000;186.900.000
3;Προεδρία της Κυβέρνησης;39.905.000;6.000.000;45.905.000
4;Υπουργεία Συνολικά;1.767.069.183.000;16.683.954.000;1.783.753.137.000
5;Υπουργείο Εσωτερικών;3.731.668.000;432.000.000;4.163.668.000
6;Υπουργείο Εξωτερικών;439.237.000;44.000.000;483.237.000
7;Υπουργείο Εθνικής Άμυνας;6.955.272.000;108.000.000;7.063.272.000
8;Υπουργείο Υγείας;6.945.945.000;896.000.000;7.841.945.000
9;Υπουργείο Δικαιοσύνης;616.577.000;63.000.000;679.577.000
10;Υπουργείο Παιδείας, Θρησκευμάτων και Αθλητισμού;5.899.933.000;864.000.000;6.763.933.000
11;Υπουργείο Πολιτισμού;278.109.000;375.000.000;653.109.000
12;Υπουργείο Εθνικής Οικονομίας και Οικονομικών;1.714.338.966.000;3.069.954.000;1.717.408.920.000
13;Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων;296.877.000;1.207.000.000;1.503.877.000
14;Υπουργείο Περιβάλλοντος και Ενέργειας;318.452.000;2.815.000.000;3.133.452.000
15;Υπουργείο Εργασίας και Κοινωνικής Ασφάλισης;18.429.078.000;672.000.000;19.101.078.000
16;Υπουργείο Κοινωνικής Συνοχής και Οικογένειας;3.570.316.000;233.000.000;3.803.316.000
17;Υπουργείο Ανάπτυξης;128.476.000;670.000.000;798.476.000
18;Υπουργείο Υποδομών και Μεταφορών;1.031.756.000;2.360.000.000;3.391.756.000
19;Υπουργείο Ναυτιλίας και Νησιωτικής Πολίτικης;367.593.000;389.000.000;756.593.000
20;Υπουργείο Τουρισμού;40.992.000;197.000.000;237.992.000
21;Υπουργείο Ψηφιακής Διακυβέρνησης;154.403.000;1.237.000.000;1.391.403.000
22;Υπουργείο Μετανάστευσης και Ασύλου;156.133.000;380.000.000;536.133.000
23;Υπουργείο Προστασίας του Πολίτη;2.513.285.000;90.000.000;2.603.285.000
24;Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας;856.115.000;582.000.000;1.438.115.000
25;Αποκεντρωμένες Διοικήσεις;86.159.000;0;86.159.000
26;Αποκεντρωμένη Διοίκηση Αττικής;14.380.000;0;14.380.000
27;Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας;11.142.000;0;11.142.000
28;Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας;10.981.000;0;10.981.000
29;Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας και Ιονίου;15.556.000;0;15.556.000
30;Αποκεντρωμένη Διοίκηση Αιγαίου;7.149.000;0;7.149.000
31;Αποκεντρωμένη Διοίκηση Κρήτης;7.311.000;0;7.311.000
32;Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης;19.640.000;0;19.640.000
33;Σύνολο εξόδων Κρατικού Προϋπολογισμού;1.767.385.098.000;16.691.954.000;1.784.077.052.000
