1; ΕΣΟΔΑ;679.144.145.000
1,1;Φόροι;47.228.000.000;;
1,2;Κοινωνικές εισφορές;55.000.000;;
1,3;Μεταβιβάσεις;3.880.000.000;;
1,4;Πωλήσεις αγαθών και υπηρεσιών;692.000.000;;
1,5;Λοιπά τρέχοντα έσοδα;1.564.000.000;;
1,6;Πάγια περιουσιακά στοιχεία;332.000.000;;
1,7;Χρεωστικοί τίτλοι;550.000.000;;
1,8;Δάνεια;-;
1,9;Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων;2.063.000.000;;
1,9,1;Υποχρεώσεις από νόμισμα και καταθέσεις;19.000.000;;
1,9,2;Χρεωστικοί τίτλοι (υποχρεώσεις);22.761.145.000;;
1,9,3;Δάνεια;600.000.000.000;;
1,9,4;Χρηματοοικονομικά παράγωγα;-;
2; ΕΞΟΔΑ;679.144.145.000
2,1;Παροχές σε εργαζομένους;13.403.404.000;;
2,2;Κοινωνικές παροχές;134.422.000;;
2,3;Μεταβιβάσεις;27.824.312.000;;
2,4;Αγορές αγαθών και υπηρεσιών;1.145.289.000;;
2,5;Επιδοτήσεις;89.060.000;;
2,6;Τόκοι;4.500.100.000;;
2,7;Λοιπές δαπάνες;71.388.000;;
2,8;Πιστώσεις υπό κατανομή;8.245.362.000;;
2,9;Πάγια περιουσιακά στοιχεία;623.188.000;;
2,9,1;Τιμαλφή;10.000;;
2,9,2;Δάνεια;-;
2,9,3;Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων;562.480.000;;
2,9,4;Χρεωστικοί τίτλοι (υποχρεώσεις);19.367.000.000;;
2,9,5;Δάνεια;601.528.130.000;;
2,9,6;Χρηματοοικονομικά παράγωγα;1.650.000.000;;
3;ΑΠΟΤΕΛΕΣΜΑ ΚΡΑΤΙΚΟΥ ΠΡΟΫΠΟΛΟΓΙΣΜΟΥ (ΕΣΟΔΑ - ΕΞΟΔΑ);0;;
