1;Προεδρία της Δημοκρατίας;3.691.000;0;3.691.000;
2;Βουλή των Ελλήνων;139.550.000;1.000.000;140.550.000;
3;Προεδρία της Κυβέρνησης;-;
4;Υπουργεία Συνολικά;672.085.808.000;6.749.000.000;678.834.808.000;
5;Υπουργείο Εσωτερικών;2.785.671.000;212.000.000;2.997.671.000;
6;Υπουργείο Εξωτερικών;267.109.000;11.000.000;278.109.000;
7;Υπουργείο Εθνικής Άμυνας;3.383.000.000;14.000.000;3.397.000.000;
8;Υπουργείο Υγείας;3.798.660.000;60.000.000;3.858.660.000;
9;Υπουργείο Δικαιοσύνης;509.754.000;23.000.000;532.754.000;
10;Υπουργείο Παιδείας και Θρησκευμάτων;4.953.000.000;510.000.000;5.463.000.000;
11;Υπουργείο Πολιτισμού και Αθλητισμού;300.200.000;35.000.000;335.200.000;
12;Υπουργείο Οικονομικών;632.762.383.000;26.000.000;632.788.383.000;
13;Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων;269.473.000;802.000.000;1.071.473.000;
14;Υπουργείο Περιβάλλοντος και Ενέργειας;90.805.000;570.000.000;660.805.000;
15;Υπουργείο Εργασίας και Κοινωνικών Υποθέσεων;19.471.800.000;420.000.000;19.891.800.000;
16;Υπουργείο Κοινωνικής Συνοχής και Οικογένειας;-;
17;Υπουργείο Ανάπτυξης και Επενδύσεων;158.846.000;2.261.000.000;2.419.846.000;
18;Υπουργείο Υποδομών και Μεταφορών;533.867.000;1.467.000.000;2.000.867.000;
19;Υπουργείο Ναυτιλίας και Νησιωτικής Πολιτικής;266.800.000;140.000.000;406.800.000;
20;Υπουργείο Τουρισμού;36.680.000;33.000.000;69.680.000;
21;Υπουργείο Ψηφιακής Διακυβέρνησης;132.279.000;60.000.000;192.279.000;
22;Υπουργείο Μετανάστευσης και Ασύλου;-;
23;Υπουργείο Προστασίας του Πολίτη;2.365.481.000;105.000.000;2.470.481.000;
24;Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας;-;
25;Αποκεντρωμένες Διοικήσεις;165.096.000;0;165.096.000;
26;Αποκεντρωμένη Διοίκηση Αττικής;19.856.000;0;19.856.000;
27;Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας;27.484.000;0;27.484.000;
28;Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας;18.937.000;0;18.937.000;
29;Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας και Ιονίου;35.146.000;0;35.146.000;
30;Αποκεντρωμένη Διοίκηση Αιγαίου;10.220.000;0;10.220.000;
31;Αποκεντρωμένη Διοίκηση Κρήτης;11.208.000;0;11.208.000;
32;Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης;42.245.000;0;42.245.000;
33;Σύνολο εξόδων Κρατικού Προϋπολογισμού;672.394.145.000;6.750.000.000;679.144.145.000;
