1; ΕΣΟΔΑ;793.162.480.000;
1,1;Φόροι;43.587.000.000;;
1,2;Κοινωνικές εισφορές;53.000.000;;
1,3;Μεταβιβάσεις;6.951.000.000;;
1,4;Πωλήσεις αγαθών και υπηρεσιών;595.000.000;;
1,5;Λοιπά τρέχοντα έσοδα;1.454.000.000;;
1,6;Πάγια περιουσιακά στοιχεία;330.000.000;;
1,7;Χρεωστικοί τίτλοι;30.520.000;;
1,8;Δάνεια;-;
1,9;Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων;1.453.000.000;;
1,9,1;Υποχρεώσεις από νόμισμα και καταθέσεις;8.620.000;;
1,9,2;Χρεωστικοί τίτλοι (υποχρεώσεις);37.000.000.000;;
1,9,3;Δάνεια;701.700.340.000;;
1,9,4;Χρηματοοικονομικά παράγωγα;-;
2 ;ΕΞΟΔΑ;802.198.230.000
2,1;Παροχές σε εργαζομένους;13.544.417.000;;
2,2;Κοινωνικές παροχές;198.872.000;;
2,3;Μεταβιβάσεις;31.394.330.000;;
2,4;Αγορές αγαθών και υπηρεσιών;1.250.824.250;;
2,5;Επιδοτήσεις;80.060.000;;
2,6;Τόκοι;4.510.100.000;;
2,7;Λοιπές δαπάνες;91.379.000;;
2,8;Πιστώσεις υπό κατανομή;14.094.394.750;;
2,9;Πάγια περιουσιακά στοιχεία;2.646.191.000;;
2,9,1;Τιμαλφή;52.000;;
2,9,3;Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων;1.562.480.000;;
2,9,4;Χρεωστικοί τίτλοι (υποχρεώσεις);26.504.000.000;;
2,9,5;Δάνεια;704.871.130.000;;
2,9,6;Χρηματοοικονομικά παράγωγα;1.450.000.000;;
3; ΑΠΟΤΕΛΕΣΜΑ ΚΡΑΤΙΚΟΥ ΠΡΟΫΠΟΛΟΓΙΣΜΟΥ (ΕΣΟΔΑ - ΕΞΟΔΑ);-9.035.750.000;
