1; ΕΣΟΔΑ;798.039.000.000;
1,1;Φόροι;51.579.000.000;
1,2;Κοινωνικές εισφορές;55.000.000;
1,3;Μεταβιβάσεις;7.953.000.000;
1,4;Πωλήσεις αγαθών και υπηρεσιών;2.405.000.000;
1,5;Λοιπά τρέχοντα έσοδα;1.869.000.000;
1,6;Πάγια περιουσιακά στοιχεία;24.000.000;
1,7;Χρεωστικοί τίτλοι;23.000.000;
1,8;Δάνεια;-;
1,9;Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων;387.000.000;
1,9,1;Υποχρεώσεις από νόμισμα και καταθέσεις;44.000.000;
1,9,2;Χρεωστικοί τίτλοι (υποχρεώσεις);31.554.000.000;
1,9,3;Δάνεια;;701.846.000.000;
1,9,4;Χρηματοοικονομικά παράγωγα;300.000.000;
2; ΕΞΟΔΑ;806.878.193.000;
2,1;Παροχές σε εργαζόμενους;13.795.795.000;
2,2;Κοινωνικές παροχές;397.439.000;
2,3;Μεταβιβάσεις;32.475.557.000;
2,4;Αγορές αγαθών και υπηρεσιών;1.540.686.000;
2,5;Επιδοτήσεις;80.300.000;
2,6;Τόκοι;5.851.155.000;
2,7;Λοιπές δαπάνες;81.257.000;
2,8;Πιστώσεις υπό κατανομή;15.117.638.000;
2,9;Πάγια περιουσιακά στοιχεία;2.530.934.000;
2,9,1;Τιμαλφή;62.000;
2,9,2;Δάνεια;3.394.000.000;
2,9,3;Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων;1.058.240.000;
2,9,4;Χρεωστικοί τίτλοι (υποχρεώσεις);27.924.000.000;
2,9,5;Δάνεια;702.631.130.000;
3;ΑΠΟΤΕΛΕΣΜΑ ΚΡΑΤΙΚΟΥ ΠΡΟΫΠΟΛΟΓΙΣΜΟΥ (ΕΣΟΔΑ - ΕΞΟΔΑ);-8.839.193.000;
