1;Προεδρία της Δημοκρατίας;4.263.000;0;4.263.000;;;
2;Βουλή των Ελλήνων;148.900.000;1.000.000;;149.900.000;;;
3;Προεδρία της Κυβέρνησης;34.679.000;6.000.000;40.679.000;;;
4;Υπουργεία;794.659.416.000;11.954.850.000;806.614.266.000;;;
5;;Υπουργείο Εσωτερικών;3.215.620.000;333.128.000;3.548.748.000;;;
6;;Υπουργείο Εξωτερικών;266.600.000;15.575.000;282.175.000;;;
7;Υπουργείο Εθνικής Άμυνας;5.687.800.000;20.000.000;5.707.800.000;;;
8;Υπουργείο Υγείας;4.776.460.000;425.928.000;5.202.388.000;;;
9;Υπουργείο Δικαιοσύνης;515.955.000;50.419.000;566.374.000;;;
10;Υπουργείο Παιδείας και Θρησκευμάτων;5.015.300.000;1.065.204.000;6.080.504.000;;;
11;Υπουργείο Πολιτισμού και Αθλητισμού;339.969.000;118.594.000;458.563.000;;;
12;Υπουργείο Οικονομικών;748.422.479.000;169.844.000;748.592.323.000;;;
13;Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων;229.408.000;1.318.572.000;1.547.980.000;;;
14;Υπουργείο Περιβάλλοντος και Ενέργειας;298.235.000;1.409.098.000;1.707.333.000;;
15;Υπουργείο Εργασίας και Κοινωνικών Υποθέσεων;21.795.657.000;697.029.000;22.492.686.000;;
16;Υπουργείο Κοινωνικής Συνοχής και Οικογένειας;-;
17;Υπουργείο Ανάπτυξης και Επενδύσεων;141.371.000;3.153.978.000;3.295.349.000;;;
18;Υπουργείο Υποδομών και Μεταφορών;851.454.000;1.494.805.000;2.346.259.000;;;
19;Υπουργείο Ναυτιλίας και Νησιωτικής Πολίτικης;284.223.000;214.230.000;498.453.000;;;
20;Υπουργείο Τουρισμού;39.093.000;200.267.000;239.360.000;;;
21;Υπουργείο Ψηφιακής Διακυβέρνησης;162.588.000;810.349.000;972.937.000;;;
22;Υπουργείο Μετανάστευσης και Ασύλου;94.020.000;324.708.000;418.728.000;;;
23;Υπουργείο Προστασίας του Πολίτη;1.947.833.000;65.000.000;2.012.833.000;;;
24;Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας;575.351.000;68.122.000;643.473.000;;;
25;Αποκεντρωμένες Διοικήσεις;69.085.000;0;69.085.000;;
26;Αποκεντρωμένη Διοίκηση Αττικής;11.610.000;0;11.610.000;;
27;"Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας";7.723.000;0;7.723.000;;;
28;"Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας";8.468.000;0;8.468.000;;;
29;Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας και Ιονίου;12.467.000;0;12.467.000;;;
30;Αποκεντρωμένη Διοίκηση Αιγαίου;5.631.000;0;5.631.000;;;
31;Αποκεντρωμένη Διοίκηση Κρήτης;6.068.000;0;6.068.000;;;
32;Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης;17.118.000;0;17.118.000;;
33;Σύνολο εξόδων Κρατικού Προϋπολογισμού;794.916.343.000;11.961.850.000;806.878.193.000;;;
