1;ΕΣΟΔΑ;1304.827.000.000;
1,1;Φόροι;62.055.000.000;
1,2;Κοινωνικές εισφορές;60.000.000;
1,3;Μεταβιβάσεις;8.131.000.000;
1,4;Πωλήσεις αγαθών και υπηρεσιών;2.405.000.000;
1,5;Λοιπά τρέχοντα έσοδα;2.775.000.000;
1,6;Πάγια Περιουσιακά Στοιχεία;37.000.000;
1,7;Χρεωστικοί τίτλοι;11.000.000;
1,8;Δάνεια;20.000.000;
1,9;Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων;467.000.000;
1,9,1;Υποχρεώσεις από νόμισμα και καταθέσεις;66.000.000;
1,9,2;Χρεωστικοί τίτλοι (υποχρεώσεις);25.973.000.000;
1,9,3;Δάνεια;1.202.027.000.000;
1,9,4;Χρηματοοικονομικά παράγωγα;800.000.000;
2;ΕΞΟΔΑ;1.307.907.506.000;
2,1;Παροχές σε εργαζομένους;14.889.199.000;
2,2;Κοινωνικές παροχές;425.136.000;
2,3;Μεταβιβάσεις;34.741.365.000;
2,4;Αγορές αγαθών και υπηρεσιών;2.039.542.000;
2,5;Επιδοτήσεις;80.630.000;
2,6;Τόκοι;7.701.101.000;
2,7;Λοιπές δαπάνες;101.553.000;
2,8;Πιστώσεις υπό κατανομή;17.283.053.000;
2,9;Πάγια περιουσιακά στοιχεία;2.609.600.000;
2,9,1;Τιμαλφή;85.000;
2,9,2;Δάνεια;3.741.000.000;
2,9,3;Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων;1.755.112.000;
2,9,4;Χρεωστικοί τίτλοι (υποχρεώσεις);19.375.000.000;
2,9,5;Δάνεια;1.203.165.130.000;
3;ΑΠΟΤΕΛΕΣΜΑ ΚΡΑΤΙΚΟΥ ΠΡΟΫΠΟΛΟΓΙΣΜΟΥ (ΕΣΟΔΑ - ΕΞΟΔΑ);-3.080.506.000;
